"date","value"
1970-01-01,1601.25833333333
1971-01-01,990.2
1972-01-01,916.7
1973-01-01,457.55
1974-01-01,398.858333333333
1975-01-01,166.408333333333
1976-01-01,169.775
1977-01-01,347.041666666667
1978-01-01,1368.51666666667
1979-01-01,2194.525
1980-01-01,2160.71666666667
1981-01-01,2270.24166666667
1982-01-01,2283.3
1983-01-01,944
1984-01-01,811.316666666667
1985-01-01,180.15
1986-01-01,124.7
1987-01-01,296.816666666667
1988-01-01,1352.19166666667
1989-01-01,2579.225
1990-01-01,2048.68333333333
1991-01-01,2470.18333333333
1992-01-01,1349.20833333333
1993-01-01,696.2
1994-01-01,340.391666666667
1995-01-01,159.633333333333
1996-01-01,81.9
1997-01-01,210.241666666667
1998-01-01,763.075
1999-01-01,1162.00833333333
2000-01-01,1614.21666666667
2001-01-01,1704.09166666667
2002-01-01,1828.73333333333
2003-01-01,1099.24166666667
2004-01-01,683.775
2005-01-01,542.575
2006-01-01,245.108333333333
2007-01-01,133.341666666667
2008-01-01,22.8083333333333
2009-01-01,26.5583333333333
2010-01-01,214.291666666667
2011-01-01,749.566666666667
